day	hour	value
1	01	47
1	02	48
1	03	39
1	04	38
1	05	47
1	06	44
1	07	63
1	08	73
1	09	73
1	10	72
1	11	67
1	12	67
1	13	65
1	14	71
1	15	65
1	16	69
1	17	67
1	18	69
1	19	72
1	20	65
1	21	62
1	22	57
1	23	55
1	24	55
2	01	46
2	02	43
2	03	34
2	04	36
2	05	35
2	06	40
2	07	59
2	08	67
2	09	67
2	10	66
2	11	60
2	12	55
2	13	56
2	14	53
2	15	52
2	16	50
2	17	45
2	18	44
2	19	43
2	20	50
2	21	46
2	22	47
2	23	43
2	24	43
4	01	37
3	01	38
3	02	38
3	03	38
3	04	33
3	05	31
3	06	38
3	07	46
3	08	64
3	09	65
3	10	66
3	11	65
3	12	49
3	13	50
3	14	49
3	15	53
3	16	54
3	17	52
3	18	51
3	19	52
3	20	57
3	21	56
3	22	59
3	23	49
3	24	49
4	01	37
4	02	38
4	03	38
4	04	33
4	05	31
4	06	38
4	07	46
4	08	64
4	09	65
4	10	66
4	11	65
4	12	49
4	13	50
4	14	49
4	15	53
4	16	54
4	17	52
4	18	51
4	19	52
4	20	57
4	21	56
4	22	59
4	23	49
4	24	49
5	01	43
5	02	46
5	03	40
5	04	36
5	05	41
5	06	45
5	07	64
5	08	79
5	09	85
5	10	82
5	11	82
5	12	81
5	13	77
5	14	79
5	15	77
5	16	79
5	17	79
5	18	83
5	19	100
5	20	92
5	21	90
5	22	77
5	23	69
5	24	69
6	01	53
6	02	54
6	03	48
6	04	51
6	05	47
6	06	57
6	07	75
6	08	82
6	09	77
6	10	77
6	11	77
6	12	80
6	13	79
6	14	76
6	15	75
6	16	74
6	17	74
6	18	74
6	19	92
6	20	84
6	21	76
6	22	67
6	23	64
6	24	64
7	01	52
7	02	53
7	03	47
7	04	46
7	05	45
7	06	48
7	07	62
7	08	78
7	09	78
7	10	76
7	11	75
7	12	76
7	13	77
7	14	73
7	15	73
7	16	75
7	17	71
7	18	73
7	19	84
7	20	75
7	21	67
7	22	64
7	23	53
7	24	53